,identity,source_x,source_y,source_w,source_h,VGG-Face_cosine
0,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Vladimir_Putin/putin3.jpg,104,31,63,93,0.35432750768570553
1,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Vladimir_Putin/putin5.jpg,104,31,63,93,0.3687640085712387
2,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Volodymyr_Zelensky/zelen4.jpg,104,31,63,93,0.39538402884054247
